0,0,0,0,0,0
4.11521,4.11521,4.11521,4.11521,4.11521,4.11521
4.73932,4.68575,4.62086,5.49585,4.64533,5.49585
3.15863,3.64637,5.23692,8.91643,6.84835,8.40301
5.74655,5.76877,8.50704,12.0446,9.39999,10.4424
8.61386,8.79494,12.6272,11.9264,11.77,12.3203
11.5469,11.9075,16.7712,11.4111,13.7792,14.1169
14.5034,15.0507,20.9157,12.7976,15.4757,15.9651
17.4702,18.2064,25.0498,14.5668,16.9341,17.711
20.4417,21.3683,29.1696,16.3673,18.2254,19.274
23.414,24.5316,33.2725,19.0924,20.6697,20.5866
26.386,27.6954,37.3546,22.532,23.118,21.6092
29.3571,30.858,41.4147,26.0157,25.5689,22.3898
32.3255,34.018,45.4516,29.5235,28.0217,24.574
35.2913,37.1759,49.4623,33.0435,30.4744,26.7657
38.2546,40.3307,53.4457,36.5687,32.9271,28.9633
41.2139,43.4815,57.4003,40.0928,35.3796,31.1646
44.1695,46.6291,61.3251,43.613,37.8307,33.3688
47.1217,49.7721,65.2174,47.1273,40.2811,35.5755
50.0692,52.9115,69.0764,50.6328,42.7297,37.7833
53.0129,56.0465,72.9013,54.1285,45.1767,39.9926
55.9516,59.1763,76.6893,57.6139,47.6224,42.2021
58.8857,62.302,80.0403,61.0866,50.0658,44.412
61.8148,65.4229,82.3977,64.5471,52.5077,46.6223
64.7394,68.5381,84.7551,67.9934,54.9472,48.8321
67.6583,71.6486,87.2716,71.4255,57.3849,51.0415
