0,0,0
0.00199027,0.00195431,0.552782
0.010179,0.0257122,1.08702
0.0198984,0.0867129,1.59335
0.0286594,0.18425,2.06923
0.0358364,0.312541,2.51464
0.041574,0.466485,2.93303
0.0462029,0.640903,3.32724
0.0493792,0.833799,3.70083
0.0512182,1.0416,4.05876
0.0516463,1.2588,4.40548
0.167967,1.44084,4.65543
0.561172,1.52642,4.69071
0.960393,1.60965,4.71943
1.3531,1.69013,4.75656
1.73839,1.76438,4.80581
2.11591,1.82829,4.8696
2.48553,1.87807,4.94942
2.84728,1.91222,5.04508
3.20173,1.93069,5.15695
3.54927,1.93474,5.28446
3.89004,1.92756,5.42516
4.22553,1.91301,5.57759
4.5562,1.89496,5.73798
4.88357,1.87713,5.90216
5.2085,1.8635,6.0655
5.5312,1.85759,6.22274
5.85203,1.86327,6.36884
6.16971,1.88418,6.4994
6.48409,1.92401,6.61091
6.79329,1.98543,6.69991
7.09573,2.06972,6.76482
7.3887,2.17707,6.80521
7.6704,2.3065,6.82189
7.93892,2.45494,6.81682
8.19302,2.61828,6.79271
8.43262,2.79246,6.75342
8.65732,2.97278,6.70322
8.86742,3.15576,6.64623
9.06292,3.33789,6.58734
9.24467,3.51632,6.53127
9.41327,3.68812,6.48186
9.56989,3.85096,6.44212
9.71691,4.00307,6.41427
9.85557,4.14325,6.39932
9.98722,4.27139,6.39691
10.1129,4.3878,6.40579
10.2333,4.49368,6.42395
10.3489,4.59173,6.44918
10.4592,4.68515,6.47841
10.5639,4.77788,6.50852
10.6618,4.87349,6.5364
10.7516,4.97518,6.55883
10.8324,5.08605,6.57232
10.903,5.20831,6.5735
10.9623,5.34418,6.55944
11.0093,5.4948,6.52825
11.0436,5.66067,6.47915
11.0649,5.84111,6.41222
11.0738,6.03465,6.32852
11.0712,6.23938,6.22959
11.0583,6.45218,6.11801
11.0363,6.67085,5.9967
11.0058,6.89275,5.86878
10.968,7.11597,5.73732
10.925,7.33775,5.60589
10.8777,7.55672,5.47827
10.8261,7.77133,5.35715
10.7716,7.97894,5.24486
10.7159,8.17807,5.14328
10.6596,8.36731,5.05418
10.6031,8.54599,4.97805
10.5472,8.71433,4.91505
10.4924,8.87262,4.86517
10.4389,9.02234,4.82733
10.3865,9.16506,4.79967
10.3351,9.30245,4.78037
10.2845,9.43654,4.76735
10.2349,9.569,4.75816
10.1856,9.70153,4.75009
10.1363,9.8355,4.74088
10.0865,9.9721,4.7283
10.0356,10.113,4.71025
9.9834,10.2594,4.68544
9.92943,10.4128,4.65278
9.87353,10.5737,4.61159
9.81559,10.743,4.56134
9.75599,10.9202,4.50213
9.69554,11.1044,4.43495
9.63516,11.2947,4.36126
9.57587,11.489,4.28288
9.5185,11.6854,4.20173
9.46402,11.8817,4.12037
9.41355,12.0756,4.04149
9.36821,12.265,3.96793
9.32934,12.4477,3.90285
9.298,12.6222,3.84901
9.2757,12.7866,3.8087
9.2636,12.9396,3.78354
9.26238,13.081,3.77434
9.27241,13.2107,3.78087
